Level.code	Main.food.description
7764	Pokeberry_shoots_poke_cooked_boiled_drained_without_salt
7765	Yeast_extract_spread
777	Fresh_legume_vegetables
7770	Green_beans
77700	Beans_snap_green_raw
77701	Beans_snap_green_cooked_boiled_drained_without_salt
77702	Beans_snap_green_canned_regular_pack_drained_solids
7771	Fresh_peas
77710	Peas_ediblepodded_raw
77711	Peas_ediblepodded_boiled_drained_without_salt
77712	Peas_green_raw
77713	Peas_green_cooked_boiled_drained_without_salt
77714	Peas_green_includes_baby_and_lesuer_types_canned_drained_solids_unprepared
8	Fats_Oils_Salad_Dressings_Condiments_and_Sauces
81	Fats
810	Butter_salted
811	Other_animal_fats
8110	Fat_chicken
8111	Fat_turkey
8112	Animal_fat_bacon_grease
82	Oils
820	Vegetable_oil_NFS
83	Condiments
830	Basic_condiments
8300	Salt_table
8301	Vinegar_cider
8302	Vanilla_extract_imitation_no_alcohol
8303	Capers_canned
831	Sauce_horseradish
84	Sauces
840	Sauce_readytoserve_pepper_TABASCO
85	Spices
850	Dried_herbs
8500	Spices_basil_dried
8501	Spices_oregano_dried
8502	Spices_thyme_dried
8503	Spices_marjoram_dried
8504	Spices_sage_ground
8505	Spices_parsley_dried
8506	Spices_coriander_leaf_dried
851	Basil_fresh
852	Aromatic_spices
8520	Seed_spices
85200	Spices_caraway_seed
85201	Spices_celery_seed
85202	Spices_cumin_seed
85203	Spices_mustard_seed_ground
8521	Ground_spices
85210	Spices_cinnamon_ground
85211	Spices_cloves_ground
85212	Spices_ginger_ground
85213	Spices_nutmeg_ground
85214	Spices_turmeric_ground
853	Pepper_spices
8530	Spices_pepper_black
8531	Spices_pepper_red_or_cayenne
8532	Spices_paprika
854	Powder_spices
8540	Spices_garlic_powder
8541	Spices_onion_powder
8542	Spices_chili_powder
8543	Spices_curry_powder
8544	Spices_pumpkin_pie_spice
9	Sugars_Sweets_and_Beverages
91	Sugars_and_sweets
910	Natural_sweeteners
9100	Honey
9101	Molasses
9102	Syrups_maple
9103	Syrups_sorghum
9104	Sweetener_syrup_agave
911	Sugars_granulated
912	Syrups_corn_highfructose
92	Baking_ingredients
920	Leavening_agents
9200	Leavening_agents_baking_powder_doubleacting_sodium_aluminum_sulfate
9201	Leavening_agents_baking_soda
9202	Leavening_agents_cream_of_tartar
9203	Leavening_agents_yeast_bakers_active_dry
921	Chocolate_products
9210	Baking_chocolate_unsweetened_squares
9211	Cocoa_dry_powder_unsweetened
922	Gelatins_dry_powder_unsweetened
93	Non_alcoholic_beverages
930	Water
9300	Water_tap_drinking
9301	Water_bottled_generic
931	Coffee_and_tea
9310	Coffee_brewed_prepared_with_tap_water
9311	Tea_varieties
93110	Beverages_tea_green_brewed_regular
93111	Beverages_tea_black_brewed_prepared_with_tap_water
93112	Beverages_tea_instant_unsweetened_powder
93113	Beverages_tea_herb_other_than_chamomile_brewed
93114	Beverages_tea_Oolong_brewed
932	Beverages_Whey_protein_powder_isolate
933	Nuts_coconut_water_liquid_from_coconuts
94	Alcoholic_beverages
940	Distilled_spirits
9400	Alcoholic_beverage_distilled_all_gin_rum_vodka_whiskey_80_proof
9401	Alcoholic_beverage_liqueur_coffee_53_proof
941	Wine
9410	Table_wine
94100	Alcoholic_beverage_wine_table_red
94101	Alcoholic_beverage_wine_table_white
94102	Alcoholic_beverages_Wine_rose
9411	Alcoholic_beverage_wine_dessert_sweet
942	Alcoholic_beverage_rice_sake
943	Beverages_Amber_hard_cider
