Level.code	Main.food.description
5101	Wheat endosperm, uncooked (consumed cooked/heat-treated)
5102	Bran, wheat
52	Rice_products
520	Rice_varieties
5200	Rice, brown, uncooked (consumed cooked/heat-treated)
5201	Rice, white, uncooked (consumed cooked/heat-treated)
5202	Wild rice, uncooked (consumed cooked/heat-treated)
5203	Flour, rice, white
53	Other_grains
530	Flour, barley
531	Oat_products
5310	Oat groats (oatmeal), uncooked (consumed cooked/heat-treated)
5311	Bran, oat
532	Corn_products
5320	Flour, corn, masa
5321	Cornmeal, degermed
5322	Corn grits, uncooked (consumed cooked/heat-treated)
5323	Corn hominy, canned/cooked
533	Millet
5330	Millet, uncooked (consumed cooked/heat-treated)
5331	Flour, millet
534	Quinoa, uncooked (consumed cooked/heat-treated)
535	Flour, rye
536	Buckwheat
5360	Buckwheat groats, uncooked (consumed cooked/heat-treated)
5361	Flour, buckwheat
537	Tapioca, dried
538	Cereal, infant, oat
54	Carob_products
540	Flour, carob
55	Leavening_agents
550	Leavening agents, yeast
551	Leavening agents, baking soda
552	Leavening agents, baking powder
553	Leavening agents, cream of tartar
6	Fruits
61	Citrus_fruits_and_juices
610	Oranges
6100	Oranges, cooked
6101	Juice, orange
6102	Juice, orange, concentrate
611	Grapefruits
6110	Grapefruit, raw
6111	Grapefruit, canned (grapefruit only)
6112	Juice, grapefruit, concentrate
6113	Juice, grapefruit
612	Lemons_limes
6120	Juice, lemon
6121	Lemon peel, cooked
6122	Limes, raw
6123	Juice, lime
613	Tangerines
6130	Tangerine/clementine/calamondin/mandarin orange, raw
6131	Tangerine/clementine/calamondin/mandarin orange, canned/cooked (oranges only)
614	Kumquats, raw
62	Stone_fruits
620	Peaches
6200	Peaches, raw/frozen
6201	Peaches, cooked
6202	Peaches, dried
6203	Peaches, dried, cooked
6204	Juice, peach
621	Apricots
6210	Apricots, raw
6211	Apricots, cooked
6212	Apricots, dried
6213	Apricots, dried, cooked
6214	Juice, apricot
622	Cherries
6220	Cherries, raw/frozen/canned (cherries only)
