Basic Ingredient Description
"Peas, green, canned"
"Pumpkin, cooked"
"Sweet potatoes, canned"
"Juice, celery"
"Juice, lettuce"
"Juice, parsley"
"Juice, spinach"
"Juice, watercress"
"Raisins, cooked"
"Okra, cooked"
"Seeds, alfalfa, sprouted, raw"
"Asparagus, raw"
"Beans, green/snap, raw"
"Beets, raw"
"Brussels sprouts, raw"
"Nopales, raw"
"Cauliflower, raw"
"Corn (vegetable), raw"
"Yambean (jicama), raw"
"Arugula, raw"
"Peas, green, raw"
"Radishes, raw"
"Seaweed, kelp, raw"
"Seaweed, laver, raw"
"Seaweed, wakame, raw"
"Peas, edible-podded, raw"
"Squash, summer, raw"
"Turnips, raw"
"Juice, aloe vera"
"Artichokes, (globe or french), canned/cooked"
"Artichokes, (globe or french), cooked"
"Artichokes, (globe or french), canned"
"Asparagus, canned/cooked"
"Asparagus, cooked"
"Asparagus, canned"
"Beans, lima, immature, canned/cooked"
"Beans, lima, immature, canned"
"Beets, canned/cooked"
"Beets, canned"
"Beets, cooked"
"Balsam-pear (bitter melon/gourd), pods, cooked"
"Brussels sprouts, canned/cooked"
"Brussels sprouts, cooked"
"Nopales, cooked"
"Cauliflower, canned"
"Corn (vegetable), canned"
"Cucumber, cooked"
"Corn hominy, cooked"
"Mushrooms, canned"
"Mushrooms, dried, cooked"
"Okra, canned"
"Lettuce, iceberg/butterhead, cooked"
"Cowpeas (black-eyed peas), immature, canned/cooked"
"Cowpeas (black-eyed peas), immature, cooked"
"Cowpeas (black-eyed peas), immature, canned"
"Pigeonpeas, immature, canned"
"Peppers, non-bell, canned"
"Rutabagas, cooked"
"Seaweed, spirulina, dried"
"Squash, summer, canned"
"Turnips, cooked"
"Turnips, canned/cooked"
"Ginger root, raw"
"Sauce, pepper"
"Peas, green, mature (split), raw (consumed cooked/heat-treated)"
"Peas, green, mature (split), canned"
"Seaweed, kelp, cooked"
"Seaweed, laver, cooked"
"Seaweed, wakame, cooked"
"Beans, kidney, mature, canned"
"Squash, summer, canned/cooked"
"Cereal, infant, rice, brown"
"Sauce, tomato"
"Spices, celery seed"
"Guava, cooked"
"Apples, raw/frozen/canned (apples only)"
"Flour, carob"
"Juice, blueberry"
"Tamarind, dried"
"Tea, black, instant powder"
"Tea, black, leaves"
"Tea, herbal, leaves/flowers/seeds"
"Juice, tamarind"
"Juice, sweet potato"
"Juice, lime, concentrate"
"Juice, pear, concentrate"
"Juice, tangerine/clementine/mandarin orange, concentrate"
"Barley, malted, uncooked (consumed cooked/heat-treated)"
Hops
"Beverage, alcoholic, distilled"
"Beverage, alcoholic, liqueur"
"Beverage, alcoholic, rice (sake)"
"Wine, table, red"
"Cheese, Mexican blend, reduced fat"
"Beans, green/snap, raw/canned/cooked"
"Carrots, raw/canned/cooked"
"Goat, variety meat, brains, cooked"
"Moose, lean and fat, cooked"
"Raccoon, lean and fat, cooked"
"Pig, wild, lean and fat, cooked"
"Quail, lean and fat, cooked"
"Beef, variety meat, brains, cooked"
"Fish, haddock, smoked"
"Fish, eel, cooked"
"Fish, mackerel, raw"
"Fish roe, sturgeon, raw"
"Mollusks, clam, raw"
"Burdock root, cooked"
"Cranberries, cooked"
"Mushrooms, dried"
"Beans, fava/broad, mature, cooked"
"Beans, fava/broad, mature, canned/cooked"
"Beans, white, mature, raw (consumed cooked/heat-treated)"
"Spices, pepper, white"
"Flour, amaranth"
"Amaranth grain, uncooked (consumed cooked/heat-treated)"
"Soy meal, defatted"
"Syrup, brown rice"
"Flour, millet"
"Quinoa, uncooked (consumed cooked/heat-treated)"
"Pigeonpeas, mature, canned/cooked"
"Guava, canned (guava only)"
"Nectarines, cooked"
"Plums, canned (plums only)"
"Rhubarb, raw"
"Tamarind, raw"
"Tangerine/clementine/calamondin/mandarin orange, canned/cooked (oranges only)"
"Papayas, cooked"
"Beet greens, cooked"
"Mustard greens, raw"
"Taro leaves, cooked"
"Watercress, cooked"
"Garlic, canned"
"Beans, lima, immature, raw"
"Cabbage, Chinese, raw"
"Broccoflower, canned/cooked"
"Corn (vegetable), dried, cooked"
"Flowers or blossoms of sesbania, squash, or lily, cooked"
"Pigeonpeas, immature, canned/cooked"
"Pigeonpeas, immature, cooked"
"Radishes, daikon, cooked"
"Cabbage, canned"
"Wax gourd/winter melon, cooked"
"Okra, raw"
"Broccoli, canned"
Chicory root powder
"Wine, table, white"
"Milk, 1% fat, evaporated"
"Cheese, fontina"
"Cheese, provolone, reduced fat"
"Bear, lean and fat, cooked"
"Pheasant, lean and fat, cooked"
"Fish, pike, cooked"
"Mollusks, clam, canned"
Bee pollen
"Pigeonpeas, immature, raw (consumed canned/cooked)"
"Beans, lima, mature, canned/cooked"
"Litchis/lychees, raw"
"Passion-fruit, (granadilla), purple, raw"
"Juice, pomegranate"
"Soursop, canned/cooked (soursop only)"
"Beets, dehydrated"
"Parsnips, dehydrated"
"Beet greens, raw"
"Cress, cooked"
"Dandelion greens, raw"
"Pokeberry shoots (poke), cooked"
"Eggplant, raw"
"Leeks, (bulb and lower-leaf portion), raw"
"Cabbage, savoy, cooked"
"Fennel bulb, cooked"
"Lotus root, cooked"
"Hearts of palm, cooked"
"Peppers, sweet/bell, dried"
"Peas, cooked"
"Juice, cucumber"
"Juice, kale"
"Juice, kiwi"
"Juice, pepper"
"Acai, cooked"
"Pork, variety meat, blood"
"Fish, cod, raw"
"Fish, pompano, raw"
"Fish, snapper, cooked"
"Fish, sturgeon, cooked"
"Mollusks, squid, canned"
"Crustaceans, shrimp, canned"
"Beef, lean and fat, raw"
"Beans, black, mature, raw (consumed cooked/heat-treated)"
"Beans, mung, mature, canned/cooked"
"Kumquats, raw"
"Figs, dried, cooked"
"Litchis/lychees, dried"
"Figs, canned/cooked (figs only)"
"Artichokes, (globe or french), raw"
"Fennel bulb, raw"
"Kohlrabi, raw"
"Rutabagas, raw"
"Breadfruit, canned/cooked"
"Spices, chives, dehydrated"
"Beans, green/snap, dehydrated"
"Syrup, sorghum"
"Water, bottled (amount based on powder)"
"Cheese, cheddar, nonfat"
"Beaver, lean and fat, cooked"
"Fish, flatfish, smoked"
"Fish, halibut, cooked"
"Fish, pompano, smoked"
"Fish, salmon, dried"
"Mollusks, squid, raw"
"Crustaceans, crab, canned"
"Chickpeas (garbanzo beans), mature, canned"
"Lentils, raw (consumed cooked/heat-treated)"
"Raspberries, dried, unsweetened"
"Orange peel, raw"
"Melon, casaba, raw"
"Loganberries, raw/frozen"
"Mulberries, raw"
"Papayas, canned/cooked (papaya only)"
"Broccoli raab, cooked"
"Chamnamul, cooked"
"Cabbage, mustard, cooked"
"Spices, coriander leaf, dried"
"Balsam-pear (bitter melon/gourd)/horseradish/jute/radish leaves, cooked"
"Squash, winter, raw"
"Luffa/loofah, cooked"
"Turnips, canned"
"Juice, acai"
"Juice, acerola"
"Juice, bilberry"
"Juice, elderberry"
"Juice, wolfberry"
"Dove, lean and fat, cooked"
"Fish, eel, smoked"
"Fish, tuna, dried"
"Mollusks, abalone, cooked"
"Peppers, sweet/bell, canned"
"Beef, variety meat, tripe, canned"
"Corn hominy, canned"
"Beans, yellow, mature, cooked"
"Tamarind, cooked"
"Peaches, dried, cooked"
"Figs, canned (figs only)"
"Blackberries, canned/cooked (blackberries only)"
"Chard, Swiss, raw"
"Sweet potato leaves, cooked"
"Broccoflower, raw"
"Kohlrabi, cooked"
"Lettuce, leaf, cooked"
"Potatoes, canned"
"Juice, alfalfa seeds"
"Juice, barley grass"
"Juice, broccoli"
"Juice, garlic"
"Juice, ginger root"
"Juice, wheat grass"
Spirulina
"Tea, green, leaves"
"Tea, oolong, leaves"
"Tea, green, instant powder"
"Juice, apple (alcoholic)"
"Wine, table, rose"
"Fish, ray, cooked"
"Beans, great northern, mature, canned"
"Beans, pink, mature, canned"
"Beans, mung, mature, canned"
"Nuts, cashew, unroasted"
"Nuts, brazilnuts, unroasted"
"Nuts, hazelnuts or filberts, unroasted"
"Nuts, pecans, unroasted"
"Nuts, pistachio, unroasted"
"Nuts, walnuts, unroasted"
"Peanuts, unroasted"
"Seeds, chia"
"Huckleberries, raw/frozen"
"Kale, raw"
"Seaweed, kombu, raw"
"Fish, mackerel, canned/cooked"
"Fish, sardines, canned/cooked"
"Egg, duck, cooked"
"Egg, goose, cooked"
"Lentils, canned"
"Persimmons, dried"
"Dragon fruit, raw"
"Broccoli raab, raw"
"Veal, variety meat, thymus, cooked"
